id,reference_to_national_permit,lang
ircc_57,"Application in Form-III for seeking approval for the invention ""Superoxide dismutase gene isolated from Potentilla atrosanguinea "" for obtaining IP Rights in India, Australia, Brazil, China, Europe, United States of America, USB, and WO. Indian Patent Application Number: 928/DEL/2006 Australia Patent Application Number: 2006341292 Brazil Patent Application Number: Pi0621501-7 China Patent Application Number: 200680054556.2 Europe Patent Application Number: 06779914.8 USA Patent Application Number: 11/499505 USB Patent Application Number: 12/315301 WO : PCT/IB06/02092",en
ircc_58,"Application in Form-III for seeking approval for the invention ""Membrane based process for separation and purification of edible natural dyes "" for obtaining IP Rights in India Indian Patent Application Number: 201711001422",en
ircc_59,"Application in Form-III for seeking approval for the invention ""Induction of apoptosis in cancer cells by a natural product from Boswellia Species for its usefulness as anti-cancer agent"" for obtaining IP Rights in India Indian Patent Application Number: 0570/DEL/2007",en
ircc_60,"Application in Form-III for seeking approval for the invention ""A Pharmaceutical Composiiton Useful as a Leishmanicidal agent"" for obtaining IP Rights in India, Bangladesh, Brazil, Nepal, PCT Indian Patent Application Number: 2725/DEL/2005 Bangladesh Patent Application Number: 225/2006 Brazil Patent Application Number: PI06172644 Nepal Patent Application Number: 1241 PCT: PCT/IB06/02805",en
ircc_61,"Application in Form-III for seeking approval for the invention ""A novel soil improving synergistic composition useful for the reclamation of degraded land/soil"" for obtaining IP Rights in India Indian Patent Application Number: 1827/DEL/2006",en
ircc_62,"Application in Form-III for seeking approval for the invention ""Novel acrylic grafted keratin hydrolysate copolymer for industrial applications and a process for the preparation thereof"" for obtaining IP Rights in India Indian Patent Application Number: 201611038898",en
ircc_64,"Application in Form-III for seeking approval for the invention on ""Synthesis and antibacterial activity of novel erythromycin derivatives"" for obtaining IP Rights in India Indian Patent Application Number: 0525/DEL/2006 Date of Filing: 2007-02-02",en
ircc_65,"Application in Form-III for seeking approval for the invention on ""A Process for isolation of standardised anti-diarrhoeal composition from the fruit seed of Xylocarpus granatum "" for obtaining IP Rights in India Indian Patent Application Number: 1937/DEL/2006",en
ircc_66,"Application in Form-III for seeking approval for the invention on ""A Herbal insecticidal composition for controlling stored grain insect pests and a process for the preparation thereof"" for obtaining IP Rights in India Indian Patent Application Number: 0287/DEL/2008",en
ircc_67,"Application in Form-III for seeking approval for the invention on ""A method of cloning stable stress tolerant superoxide dismutase from diverse plant species using universal primers"" for obtaining IP Rights in India, Great Britain and United States of America. Indian Patent Application Number: 846/DEL/2008",en
ircc_68,"Application in Form-III for seeking approval for the invention on ""CATAPOL (Cataipinoside) preparation from PICROSIDE - I ( 6'-O-Cinnamoylcatalpol)"" for obtaining IP Rights in India Indian Patent Application Number: 0776/DEL/2006",en
ircc_69,"Application in Form-III for seeking approval for the invention on ""A synergistic insecticidal herbal formulation"" for obtaining IP Rights in India Indian Patent Application Number: 0607/DEL/2008",en
ircc_70,"Application in Form-III for seeking approval for the invention on ""Anti-arthritic herbal composition and method thereof"" for obtaining IP Rights in India. Indian Patent Application Number: 646/DEL/2007",en
ircc_71,"Application in Form-III for seeking approval for the invention on ""A process for the preparation of a bacterial consortium for the treatment of pulp and paper industrial waste water"" for obtaining IP Rights in India, Australia, Denmark, Europe, Great Britain, United States of America and South Africa. Indian Patent Application Number: 5375/DELNP/2005",en
ircc_72,"Application in Form-III for seeking approval for the invention on ""Method for micropropogation of Jatropha curcas plants from leaf explants"" for obtaining IP Rights in India Indian Patent Application Number: 2537/DEL/2008",en
ircc_73,"Application in Form-III for seeking approval for the invention on ""Organic weedicide formulation"" for obtaining IP Rights in India Indian Patent Application Number: 199/DEL/2007",en
ircc_74,"Application in Form-III for seeking approval for the invention on ""A composition for enhancement of a herbal dye"" for obtaining IP Rights in India Indian Patent Application Number: 1038/DEL/2008",en
ircc_75,"Application in Form-III for seeking approval for the invention ""A process for preparation of a coffee derived anti oxidant rich conserve, which has a higher yeild, improves extractability and solve the problems related to grinding the hard green coffee beans"" for obtaining IP Rights in India and WO. Indian Patent Application Number: 0739/DEL/2005 WO: PCT/IB06/00681",en
ircc_76,"Application in Form-III for seeking approval for the invention "" An improved process for the fractionation of betalains into betacyanin and betaxanthin"" for obtaining IP Rights in India Indian Patent Application Number: 0768/DEL/2005",en
ircc_77,"Application in Form-III for seeking approval for the invention ""A synergistic herbal mosquito repellent and knockdown vaporizer"" for obtaining IP Rights in India Indian Patent Application Number: 201711025754",en
ircc_78,"Application in Form-III for seeking approval for the invention ""Artificial bidirectional promoter for activation of gene expression"" for obtaining IP Rights in India, Australia, BR, China, Denmark, EG, Europe, France, Great Britain, Japan, Korea, Mexico, Philipines, United States of America, USB, WO and ZA. Indian Patent Application Number: 01462/DELNP/2006 Australia Patent Application Number: 2003304662 BR Patent Application Number: PI0318667.9 China Patent Application Number: 200380110942.5 Denmark Patent Application Number: 03819194.6 EG Patent Application Number: 624/2006 Europe Patent Application Number: 03819194.6 France Patent Application Number: 03819194.6 Great Britain Patent Application Number: 03819194.6 Japan Patent Application Number: 2005-512741 Korea Patent Application Number: 10-2006-7012978 Mexico Patent Application Number: PA/A/2006/007413 PH Patent Application Number: 1-2006-501272 USA Patent Application Number: 11/542590 USB Patent Application Number: 10/814858 WO: PCT/IN03/00442 ZA Patent Application Number: 2006/04701",en
ircc_79,"Application in Form-III for seeking approval for the invention on ""A Novel Endophytic Camtothecin and Camptothecinoid producing Fungi and process of producing the same"" for obtaining IP Rights in India,Denmark, Great Britain, United States of America, France, Europe, WO Indian Patent Application Number: 03220/DELNP/2006, Patent Number : 238011 Denmark Patent Application Number: 04803687.5 Patent Number : 1828374 Europe Patent Application Number: 04803687.5 Patent Number : 1828374 France Patent Application Number: 04803687.5 Patent Number : 1828374 Great Britain Patent Application Number: 04803687.5 Patent Number : 1828374 USA Patent Application Number:11/020075 Patent Number : 7378268 WO Patent Application Number: PCT/IB04/04205",en
ircc_80,"Application in Form-III for seeking approval for the invention ""Development of Diagnostic Molecular Markers as probing kit of distinguishing and identifying closely related species of Phyllanthus "" for obtaining IP Rights in India ,WO and USA Indian Patent Application Number: 0841/DEL/2006 USA Patent Application Number: 7829692",en
ircc_81,"Application in Form-III for seeking approval for the invention ""A Process for Fibre Opening in Leather Making"" for obtaining IP Rights in India Indian Patent Application Number: 1005/DEL/2014",en
ircc_82,"Application in Form-III for seeking approval for the invention ""An improved dispersing agent composition for application in tanning and a process for the preparation thereof"" for obtaining IP Rights in India and PCT. Indian Patent Application Number: 201711018360",en
ircc_83,"Application in Form-III for seeking approval for the invention ""A process for the preparation of sugarcane juice concentrate"" for obtaining IP Rights in India Indian Patent Application Number: 0805/DEL/2008",en
ircc_84,"Application in Form-III for seeking approval for the invention ""A Herbal Insecticidal composition for controlling Insect Pest under Process for the preparation thereof "" for obtaining IP Rights in India Indian Patent Application Number: 1826/DEL/2006 Patent Number : 253066",en
ircc_85,"Application in Form-III for seeking approval for the invention ""A process for the preparation of green coffee conserve"" for obtaining IP Rights in India Indian Patent Application Number: 0729/DEL/2005 Indian Patent Number: 253367",en
ircc_86,"Application in Form-III for seeking approval for the invention ""A process for bioremidiation of P-Nitrophenol contaminated soil"" for obtaining IP Rights in India Indian Patent Application Number: 1871/DEL/2004 Patent Number : 245068",en
ircc_87,"Application in Form-III for seeking approval for the invention ""A process for estimation of accurate and reproducible biochemical oxygen demand of pulp and paper industrial waste water"" for obtaining IP Rights in India, Australia, Denmark, Europe, Great Britain, United States of America, WO, South Africa. India Patent Number: 244344 Australia Patent Number: 2004326113 Denmark Patent Number: 1831682 Europe Patent Number: 1831682 Great Britain Patent Number: 1831682 United States of America Patent Number:7429478 WO PCT Number: PCT/IN04/00422 South Africa Patent Number: 2007/5292",en
ircc_88,"Application in Form-III for seeking approval for the invention ""A process for the preparation of optically active N-benzyl-3-hydroxypyrrolidines"" for obtaining IP Rights in India, Australia, Germany, Europe, France, Great Britain, Japan, PCT and United States of America. Indian Patent Application Number: 2648/DEL/2008 AU Patent Application Number: 2009318789 DE Patent Application Number: 09801288.3 EP Patent Application Number: 09801288.3 FR Patent Application Number: 09801288.3 GB Patent Application Number: 09801288.3 JP Patent Application Number: 2011-537014 US Patent Application Number: 13/130702 WO: PCT/IN2009/000680",en
ircc_89,"Application in Form-III for seeking approval for the invention ""Development of Novel Herbal Formulation used as an anti-diabetic on traditional indigenous knowledge"" for obtaining IP Rights in India, United States of America, USB, WO Indian Patent Application Number: 01286/ DELNP/2005 Patent Number :240358 USA Patent Application Number: 10/98/4947 USB Patent Application Number: 11/588498 WO Patent Application Number: PCT/IB04/03585",en
ircc_90,"Application in Form-III for seeking approval for the invention ""A novel compound for pharmaceutical applications and a process for the preparation thereof "" for obtaining IP Rights in India Indian Patent Application Number: 1578/DEL/2011)",en
ircc_91,"Application in Form-III for seeking approval for the invention on "" A Novel Collagen Hydrolysate Sponge Scaffold and a Process for the preparation thereof"" for obtaining IP Rights in India Indian Patent Application Number: 0015/DEL/2014",en
ircc_92,"Application in Form-III for seeking approval for the invention ""A Composition for enchancing bioavailability of drugs/neutraceuticals"" for obtaining IP Rights in India Indian Patent Application Number: 2226/DEL/2004",en
ircc_93,"Application in Form-III for seeking approval for the invention ""A Process for the preparation of radical scavenging conserves from the roots of Decalepis hamiltoni Wright & Arn"" for obtaining IP Rights in India Indian Patent Application Number: 0322/DEL/2006",en
ircc_94,"Application in Form-III for seeking approval for the invention "" Process for preparation of slow carbohydrate digestibility rice suitable for diabetics "" for obtaining IP Rights in India Indian Patent Application Number: 0810/DEL/2007",en
ircc_95,"Application in Form-III for seeking approval for the invention ""Process for preparation of a dehydrated green pepper without using chemicals"" for obtaining IP Rights in India Indian Patent Application Number: 0805/DEL/2005",en
ircc_96,"Application in Form-III for seeking approval for the invention ""A process for the enchancement of betanin extraction from red beetroot by application of gamma radiation"" for obtaining IP Rights in India Indian Patent Application Number: 0725/DEL/2005",en
ircc_97,"Application in Form-III for seeking approval for the invention ""Biomass mediated conversion of acidic phosphogypsum to alkaline potassium-sulphur rich material "" for obtaining IP Rights in India Indian Patent Application Number: 201711022958",en
ircc_98,"Application in Form-III for seeking approval for the invention "" A self colored magnetic leather for industrial applications and a process for the preparation thereof'' for obtaining IP Rights in India Indian Patent Application Number: 2461/DEL/2014",en
ircc_99,"Application in Form-III for seeking approval for the invention ""A Process for the generation of bio-electricity "" for obtaining IP Rights in India Indian Patent Application Number: 201711017228",en
ircc_100,"Application in Form-III for seeking approval for the invention ""Method for Production of Potash Enriched Biochar from Waste Biomass"" for obtaining IP Rights in India and PCT. Indian Patent Application Number: 201611018805 PCT Application Number : WO2017208250",en
ircc_101,"Application in Form-III for seeking approval for the invention ""Insecticidal enriched extract (biopesticide) from Nothapodytes foetida (Wight.) Sleumer "" for obtaining IP Rights in India, United States of America and WO. Indian Patent Application Number: 3072/DEL/2010",en
ircc_102,"Application in Form-III for seeking approval for the invention ""A Novel Composite Catalyst System for Eco-Friendly Production of Pulegone Free Dementholized Oil (DMO) "" for obtaining IP Rights in India Indian Patent Application Number: 201811027522",en
ircc_103,"Application in Form-III for seeking approval for the invention ""A single step process for the simultaneous isolation of ethyl p- methoxycinnamate and essential oils from Kaempferia galanga Linn "" for obtaining IP Rights in India Indian Patent Application Number: 201611024962",en
ircc_104,"Application in Form-III for seeking approval for the invention ""A novel feed formulation for enrichment of carotenoids in egg yolk"" for obtaining IP Rights in India. Indian Patent Application Number: 0735/DEL/2005",en
ircc_105,"Application in Form-III for seeking approval for the invention ""A cost effective and less hazardous method for rapid isolation of RNA using 2 solution system"" for obtaining IP Rights in India, Australia, Brazil, China, Denmark, Europe, Great Britain, United States of America and WO Patent Application Numbers: IN - 885/DEL/2006, AU-2006341291, BR-P10621562-9, CN-2006880054561.3, DE-06820725.7, EP-06820725.7, GB-06820725.7, USA-12/295001, WO-PCT/IB/06/02079",en
ircc_106,"Application in Form-III for seeking approval for the invention ""Development of Herbal Nutritious Chocolate and its processing"" for obtaining IP Rights in India, United States of America and WO.",en
ircc_107,"Application in Form-III for seeking approval for the invention ""A polyphenolic polysaccharide enriched collagenous substrate for medical applications and a process for the preparation thereof "" for obtaining IP Rights in India Indian Patent Application Number: 201711032701",en
ircc_108,"Application in Form-III for seeking approval for the invention ""A process for the preparation of low sour pulp from highly acidic fruits useful for preparation of food products"" for obtaining IP Rights in India. Indian Patent Application Number: 1889/DEL/2006",en
ircc_109,"Application in Form-III for seeking approval for the invention ""An Organic Fertilizer Composition and a Process for the Preparation Thereof"" for obtaining IP Rights in India Indian Patent Application Number: 201811000562",en
ircc_110,"Application in Form-III for seeking approval for the invention ""A Process for the re-hydration of Crust Leather"" for obtaining IP Rights in India Indian Patent Application Number: 0796/DEL/2014",en
ircc_392,"Application for a permit to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms of the National Environmental Management: Biodiversity Act, 2004 (Act No. 10 of 2004) and the Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015.&#10;&#9;&#9;",en
ircc_393,"Application for a permit to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms of the National Environmental Management: Biodiversity Act, 2004 (Act No. 10 of 2004) and the Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015.&#10;&#9;&#9;",en
ircc_394,"Application for a permit to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms of the National Environmental Management: Biodiversity Act, 2004 (Act No. 10 of 2004) and the Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015.&#10;&#9;&#9;",en
ircc_395,"Application for a permit to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms of the National Environmental Management: Biodiversity Act, 2004 (Act No. 10 of 2004) and the Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015.&#10;&#9;&#9;",en
ircc_396,"Application for a permit to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms of the National Environmental Management: Biodiversity Act, 2004 (Act No. 10 of 2004) and the Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015.&#10;&#9;&#9;",en
ircc_397,"Application for a permit to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms of the National Environmental Management: Biodiversity Act, 2004 (Act No. 10 of 2004) and the Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015.&#10;&#9;&#9;",en
ircc_398,"Application for a permit to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms of the National Environmental Management: Biodiversity Act, 2004 (Act No. 10 of 2004) and the Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015.&#10;&#9;&#9;",en
ircc_399,"Application for a permit to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms of the National Environmental Management: Biodiversity Act, 2004 (Act No. 10 of 2004) and the Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015.&#10;&#9;&#9;",en
ircc_400,"Application for a permit to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms National Environmental Management: Biodiversity Act, 2004 (Act No.10 of 2004) and the Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015.",en
ircc_402,APP002343-2018,en
ircc_403,DIRCO/CDESA/2019/101,en
ircc_404,"Application for a permit to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms of the National Environmental Management: Biodiversity Act, 2004 (Act No. 10 of 2004) and the Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015.",en
ircc_405,"Application for a permit to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms of the National Environmental Management: Biodiversity Act, 2004 (Act No.10 of 2004) and the Bioprospecting, Access and Benefit Sharing Regulations.",en
ircc_406,"Application for a permit to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms of the National Environmental Management: Biodiversity Act, 2004 (Act No. 10 of 2004) and the Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015.&#10;&#9;&#9;",en
ircc_407,"Application to to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms of the National Environmental Management: Biodiversity Act, 2004 (Act No.10 of 2004) and the Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015.",en
ircc_412,Resolucion Directoral No. 030-2018-MINAGRI-SERFOR/DGGSPFFS-DGSPF; Contrato No. 001-2018-MINAGRI-SERFOR/DGGSPFFS-DGSPF,en
ircc_521,"Application for a permit to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms of the National Environmental Management: Biodiversity Act, 2004 (Act No. 10 of 2004) and the Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015.&#10;&#9;&#9;",en
ircc_529,"Application for a permit to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms of the National Environmental Management: Biodiversity Act, 2004 (Act No. 10 of 2004) and the Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015.&#10;&#9;&#9;",en
ircc_530,"Application for a permit to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms of National Environmental Management: Biodiversity Act,2004 (Act No. 10 of 2004) and the Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015.",en
ircc_531,"Application for a permit to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms of the National Environmental Management: Biodiversity Act, 2004 (Act No. 10 of 2004) and the Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015.&#10;&#9;&#9;",en
ircc_532,"Application for a permit to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms of the National Environmental Management: Biodiversity Act, 2004 (Act No. 10 of 2004) and the Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015.&#10;&#9;&#9;",en
ircc_533,"Application for a permit to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms of the National Environmental Management: Biodiversity Act, 2004 (Act No. 10 of 2004) and the Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015.&#10;&#9;&#9;",en
ircc_534,"Application for a permit to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms of the National Environmental Management: Biodiversity Act, 2004 (Act No. 10 of 2004) and the Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015.&#10;&#9;&#9;",en
ircc_535,"Application for a permit to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms of the National Environmental Management: Biodiversity Act, 2004 (Act No. 10 of 2004) and the Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015.&#10;&#9;&#9;",en
ircc_536,"Application for a permit to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms of the National Environmental Management: Biodiversity Act, 2004 (Act No. 10 of 2004) and the Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015.&#10;&#9;&#9;",en
ircc_537,"Application for a permit to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms of the National Environmental Management: Biodiversity Act, 2004 (Act No. 10 of 2004) and the Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015.&#10;&#9;&#9;",en
ircc_541,"Application for a permit to conduct bioprospecting involving indigenous genetic and biological resources and associated traditional knowledge in terms of the National Environmental Management: Biodiversity Act, 2004 (Act No. 10 of 2004) and the Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015.",en
ircc_543,"Resolucion Directoral N"" 030-2018-MlNAGRI-SERFOR/DGGSPFFS-DGSPF de fecha 19 de noviembre de 2018; Contrato de Acceso N 001-2019-MINAGRI-SERFOR/DGGSPFFS-DGSPF, del 17 de enero de 2019.",en
ircc_552,"Resolucion Directoral N"" 0019-2019-MlNAGRI-SERFOR/DGGSPFFS-DGSPF de fecha 29 de abril de 2019; Contrato de Acceso N 003-2019-MINAGRI-SERFOR/DGGSPFFS-DGSPF, del 17 de mayo de 2019.",en
ircc_604,FI-INIA-000039,en
ircc_645,Application: ABS-PIC-2017-0001 PIC Permit: NP0059/17 MAT Agreement: ABS-MAT-2017-0001 A (non-commercial),en
ircc_652,Application: ABS-PIC-2019-0001 PIC Permit: NP0473/19 MAT Agreement: ABS-MAT-2019-0001 A (non-commercial),en
