text,id,lang
"The permit holder must give a presentation about the research findings at one CapeNature's Quarterly Ecological Meetings of the East Region. One copy of all completed reports, publication or articles ( including books, videos, CDs, DVDs, etc) resulting from the project/ collection must be submitted to the Chief Executive Officer: Western Cape Nature Conservation Board free of charge.",ircc_402,en
All research results will be shared among South African and German Scientists to be published in international journals.,ircc_403,en
"Cape Kingdom Neutraceuticals (Pty) Ltd will be liable for costs of mitigation or remedying the impact of the bioprospecting project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No.107 of 1998).",ircc_404,en
"Totally Wild (Pty) Ltd will be liable for the costs of mitigation or remedying the impact of the bioprospecting on the environment, in accordance with the section 28 of the National Environmental Management Act, 1998 (Act No. 107 of 1998).",ircc_405,en
"CSIR will be liable for costs of mitigation or remedying the impact of the bioprospecting project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No.107 of 1998).&#10;&#9;&#9;",ircc_406,en
"The University of Western Cape will be liable for costs of mitigation or remedying the impact of the bioprospecting project on the environment, in accordance with the section 28 of the National Environmental Management Act, 1998 (Act No.107 of 1998).",ircc_407,en
"Puris Natural Aroma Chemicals (Pty) Ltd will be liable for costs of mitigation or remedying the impact of the integrated biotrade and bioprospecting project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No.107 of 1998)",ircc_408,en
"Es derecho de LA SOLICITANTE acceder a los recursos geneticos, mediante su obtencion, utilizacion, conservados en condiciones ex situ, con fines de investigacion, sin fines comerciales. No solicitar Patentes u otros derechos de Propiedad Intelectual sobre el material genetico accedido o de la información derivada del acceso a dichos recursos genéticos.",ircc_412,en
"Nestle South Africa (Pty) Ltd will be liable for costs of mitigation or remedying the impact of the bioprospecting project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No.107 of 1998).",ircc_521,en
"CSIR will be liable for costs of mitigation or remedying the impact of the bioprospecting project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No.107 of 1998).&#10;&#9;&#9;",ircc_529,en
"Quintessence Collections CC will be liable for costs of mitigation or remedying the impact of the bioprospecting on the environment, in accordance with the section 28 of the National Environmental Management Act, 1998 (Act No. 107 of 1998).",ircc_530,en
"University of Pretoria will be liable for costs of mitigation or remedying the impact of the bioprospecting project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No.107 of 1998).&#10;&#9;&#9;",ircc_531,en
"Croc Cure (Pty) Ltd will be liable for costs of mitigation or remedying the impact of the bioprospecting project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No.107 of 1998).&#10;&#9;&#9;",ircc_532,en
"Parceval (Pty) Ltd jointly with Heel Biologische Heilmittel GmBH will be liable for costs of mitigation or remedying the impact of the bioprospecting project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No.107 of 1998).",ircc_533,en
"CSIR will be liable for costs of mitigation or remedying the impact of the bioprospecting project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No.107 of 1998).&#10;&#9;&#9;",ircc_534,en
"CSIR will be liable for costs of mitigation or remedying the impact of the bioprospecting project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No.107 of 1998).&#10;&#9;&#9;",ircc_535,en
"University of Pretoria will be liable for costs of mitigation or remedying the impact of the bioprospecting project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No.107 of 1998).&#10;&#9;&#9;",ircc_536,en
"University of Pretoria will be liable for costs of mitigation or remedying the impact of the bioprospecting project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No.107 of 1998).&#10;&#9;&#9;",ircc_537,en
The permit is valid for one cosignment only.,ircc_538,en
"Cape Natural Tea Products (Pty) Ltd will be liable for costs of mitigation or remedying the impact of the biotrade project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No. 107 of 1998).",ircc_539,en
"The collection of plant material must be confined to the Pretoria Botanical Garden. The collection of plant material should be least destructive to the remaining plant. The plant materials may not be used for bioprospecting purposes. Should the results of the research lead to the commercialization of any product, the normal bioprospecting process should be followed to ensure fair sharing of benefits. The exported specimen, seeds, and cultivated species shall remain the property of South Africa, should the research result into bioprospecting, you are reminded to comply with bioprospecting requirements in terms of the National Environmental Management: Biodiversity Act, 2004 (Act No.10 of 2004) and Bioprospecting, Access and Benefit Sharing Amendment Regulations, 2015. The permit holder will be liable for the costs of mitigating or remedying the impact of the non-commercial research on the environment, in accordance with section section 28 of the National Environmental Management Act, 1998 (Act No. 107 of 1998).",ircc_540,en
"Skimmelberg Fynbos Oils (Pty) Ltd will be liable for costs of mitigation or remedying the impact of the project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No. 107 of 1998).",ircc_541,en
"Nautica Organic Trading cc will be liable for costs of mitigation or remedying the impact of the bioprospecting project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No.107 of 1998).",ircc_542,en
"Es derecho de LA SOLICITANTE acceder a los recursos genéticos conservados en condiciones ex situ, con fines de investigación, sin fines comerciales. No solicitar Patentes u otros derechos de Propiedad Intelectual sobre el material genético accedido o de la información derivada del acceso a dichos recursos genéticos.",ircc_543,en
The permit is valid for one consignment only.,ircc_544,en
"Es derecho de LA SOLICITANTE acceder a los recursos genéticos sin fines comerciales, para realizar la documentación de flora y fauna de boques tropicales en áreas naturales protegidas. LA SOLICITANTE no podrá solicitar patentes u otros derechos de propiedad intelectual sobre el material genético accedido o de la información derivada del acceso a dichos recursos. LA SOLICITANTE deberá reconocer al Estado Peruano como titular de los recursos biológicos, los recursos genéticos contenidos objeto del CONTRATO de acceso y obtenidas a través de las muestras colectadas, independientemente que sean conservados en condiciones ex situ, dentro o fuera del país.",ircc_546,en
"Es derecho de EL SOLICITANTE acceder a los recursos genéticos para investigación sin fines comerciales relacionada a identificar nuevos fármacos que puedan ser utilizados en el tratamiento de trastornos mentales y neurológicos. EL SOLICITANTE no podrá solicitar patentes u otros derechos de propiedad intelectual sobre el material genético accedido o de la información derivada del acceso a dichos recursos. EL SOLICITANTE deberá reconocer al Estado Peruano como titular de los recursos biológicos, los recursos genéticos contenidos objeto del CONTRATO de acceso y obtenidas a través de las muestras colectadas, independientemente que sean conservados en condiciones ex situ, dentro o fuera del país.",ircc_552,en
"• The user is permitted to use the GRs only for the purpose of developing essential oil products such as cosemtic componds,cosemtics,perfumery and aromatic componds, food and flavour ingredients and compounds only.",ircc_603,en
"Recherche fondamentale en systématique, dynamique, écologie, épidémiologie et évolution d'espèces de petits mammifères et leur microbiote",ircc_635,en
"The following are a summary of some of the conditions defined in the MAT and are listed without prejudice to the same MAT agreement: The genetic resources shall be utilised exclusively for the completion of the project and shall be for research purposes only. If development is pursued subsequent to the completion of the project, a new agreement for commercial purposes shall be negotiated between the recipient and the provider.",ircc_645,en
Only use for scientific research,ircc_648,en
Only use for scientific research,ircc_649,en
Only use for scientific research,ircc_651,en
"The following are a summary of some of the conditions defined in the MAT and are listed without prejudice to the same MAT agreement: The genetic resources shall be utilised exclusively for the completion of the project and shall be for research purposes only. If development is pursued subsequent to the completion of the project, a new agreement for commercial purposes shall be negotiated between the recipient and the provider.",ircc_652,en
GRs used for non-commercial scientific research,ircc_656,en
GRs used for non-commercial scientific research,ircc_657,en
GRs used for non-commercial scientific research,ircc_658,en
GRs used for non-commercial scientific research,ircc_659,en
GRs used for non-commercial scientific research,ircc_660,en
GRs used for non-commercial scientific research,ircc_661,en
GRs used for non-commercial scientific research,ircc_662,en
GRs used for non-commercial scientific research,ircc_663,en
GRs used for non-commercial scientific research,ircc_664,en
GRs used for non-commercial scientific research,ircc_665,en
GRs used for non-commercial scientific research,ircc_666,en
GRs used for non-commercial scientific research,ircc_667,en
"Basic research on screening bioactivity, focusing on cosmetic activity, from seaweed.",ircc_668,en
GRs used for non-commercial scientific research,ircc_669,en
GRs used for non-commercial scientific research,ircc_670,en
R&D on biological properties to be used in cosmetics,ircc_671,en
GRs used for non-commercial scientific research,ircc_672,en
GRs used for non-commercial scientific research,ircc_673,en
GRs used for non-commercial scientific research,ircc_674,en
GRs used for non-commercial scientific research,ircc_675,en
GRs used for non-commercial scientific research,ircc_678,en
GRs used for non-commercial scientific research,ircc_679,en
GRs used for non-commercial scientific research,ircc_680,en
GRs used for non-commercial scientific research,ircc_681,en
GRs used for non-commercial scientific research,ircc_682,en
GRs used for non-commercial scientific research,ircc_683,en
GRs used for non-commercial scientific research,ircc_684,en
GRs used for non-commercial scientific research,ircc_686,en
GRs used for non-commercial scientific research,ircc_687,en
GRs used for non-commercial scientific research,ircc_688,en
GRs used for non-commercial scientific research,ircc_689,en
Access was granted for scientific research. Use of genetic resources for commercial purposes is possible only upon the conclusion of a new benefit-sharing agreement.,ircc_692,en
"Scientific research permit. Special (collection, observation). Taxonomy of the genus Witheringia (Solanaceae). Authorized use: Objective of the investigation. Make a phylogeny of the genus Witheringia (Solanaceae) and its allied genera. The genus Brachistus has been placed within the genus Witheringia by some authors, and next to it by other authors. In addition, DNA data reveal that some species of Witheringia must be placed in the genus Cuatresia, which is not close to Witheringia in phylogeny. DNA data, field observations, and herbarium studies will be used to rectify this confusing situation.",ircc_698,en
"&#10;&#9;&#9; Estudio para poner a prueba la mejora de la eficacia antimalárica de los compuestos de Simaba cedron por medio de transformación enzimática. Utilizar extractos de Simaba cedron como base para desarrollar un agente antimalárico más eficiente. Institución que respalda la investigación: INDICASAT AIP (PANAMA) /Indigena Biodiversity (LONDRES, REINO UNIDO).",ircc_702,en
Authorized use: Purpose of export: Genetic analysis. Faecal samples of Cebus capucinus stored in RNA Later for genetic analysis. Non-invasive DNA samples of Cebus capucinus (hair) for genetic analysis. Objective of the research is to explore the relationship between the vertically transmitted genetic variation and the variation of horizontally transmitted behavior in the isolated and strongly fragmented population of Cebus capucinus in Isla Coiba.,ircc_704,en
"You shall ensure that the basic analysis of the genetic resource such as identification cataloging, analyzing and preservation of the ticks and preparation of the samples to good laboratory standards for export and further analysis shall be done in the local partners KWS/MKU and Ol Pejeta conservancy are involved in the collection, identification and preparations of the samples for export.",ircc_718,en
"| You shall ensure that the basic analysis of the genetic resource such as identification, cataloging, analyzing and preservation of the plant species preparation of samples to good laboratory standards for export and further analysis shall be done in the local institutions. Ensure that the local partner is involved in the identification and preparation of the samples for export.",ircc_719,en
The genetic resource and derivative shall not be transferred to a third party without the consent of the genetic resource providers and NEMA.,ircc_720,en
"You shall ensure that the basic analysis of the genetic resource such as identification, cataloging, analyzing and preservation of the fecal and vegetation specimens as well preparations of the samples to good laboratory standards for export and further analysis shall be done in the local institution: Mpala Research Center. You shall ensure that the local partners KWS and conservancies are involved in the collection, identification and preparations of the samples for export.",ircc_722,en
The genetic resource and the derivative shall not be transferred to a third party without the consent of the genetic resource providers and NEMA .,ircc_723,en
"Project: Enhancing Local Food Sercurity and Nutrition through promoting the use of Baobab (Adansonia digitata L.) in Rural communities in East Africa for export Counties Kitui, Kilifi Makueni",ircc_731,en
Access was granted for scientific research. Use of genetic resources for commercial purposes is possible only upon the conclusion of a new benefit-sharing agreement.,ircc_754,en
Access was granted for scientific research. Use of genetic resources for commercial purposes is possible only upon the conclusion of a new benefit-sharing agreement.,ircc_755,en
Access was granted for scientific research. Use of genetic resources for commercial purposes is possible only upon the conclusion of a new benefit-sharing agreement.,ircc_758,en
Access was granted for scientific research. Use of genetic resources for commercial purposes is possible only upon the conclusion of a new benefit-sharing agreement.,ircc_759,en
Access was granted for scientific research. Use of genetic resources for commercial purposes is possible only upon the conclusion of a new benefit-sharing agreement.,ircc_760,en
Access was granted for to conduct research and/or developments of its genetic and/or biochemical composition for possible subsequent commercialization. Use of genetic resources for commercial purposes is possible only upon the conclusion of a new benefit-sharing agreement.,ircc_761,en
"El acceso se fue otorgado para producto farmacéutico, utilizado como medicamento terapéutico.",ircc_764,en
"La USUARIA tiene derecho a acceder a los recursos genéticos y sus productos derivados de la especie cultivada quinua ( Chenopodium quinoa W.) en el marco del proyecto “Composición cosmética a base de saponinas de quinua con actividad antimicrobiana y antifúngica para la regeneración de la epidermis” durante la vigencia del CONTRATO establecida en el numeral 15.1 de la Clausula Décimo Quinta del Contrato. La USUARIA no podrá utilizar los recursos genéticos y sus derivados materia del contrato para fines distintos a los señalados. La USUARIA no podrá reclamar derechos de propiedad sobre los recursos genéticos y sus derivados objeto del Contrato. Asimismo, el contrato no otorga, expresa o implícitamente, a la USUARIA derechos de propiedad intelectual.",ircc_874,en
"The summary of the research findings and outcomes including the dates, locations, species and quantities collected should be submitted to the Issuing Authority. No specimens should be used in any way in a bioprospecting context.",ircc_1046,en
"As per permit conditions outlined in Permit No. IB&BP 201689. Botanica Natural Products (Pty) Ltd jointly with Rahn AG will be liable for costs of mitigation or remedying the impact of the project on the environment, in accordance with section 28 of the National Environmental Management Act, 1998 (Act No.7 of 1998).",ircc_1047,en
"This permit is issued subject to the provisions and regulations of the following laws: The Marine Living Resources Act, (Act No. 18 of 1998) and all regulations published in terms of thereof; The National Environmental Management Act, (Act No. 107 of 1998) and in particular, the regulations that control vehicle use in coastal zones as amended; The National Environmental Management Biodiversity Act, (Act No. 10 of 2004) all regulations published in terms of thereof; The National Environmental Management Protected Areas Act, (Act No. 57 of 2003); The sea Birds and Seals Protection Act, (Act No. 46 of 1973); Prevention of Pollution from Ships Act, (Act No. 2 of 1986); National Environmental Management Integrated Coastal Management Act, (Act No. 24 of 2008) and Any other relevant law.",ircc_1048,en
"If further experiment of the biological resource is used for commercial purposes, SEDERMA France have to inform the authority and the ABS agreement must to be established.",ircc_1062,en
"The genetic resources transferred in accordance with the Agreement should be used exclusively for scientific research for non-commercial purposes. The Parties to the Agreement shall have equal rights to the results of scientific research and their publication. The use of transferred genetic resources, as well as derived genetic resources (lines, varieties) resulting from the utilization (involvement) of the genetic resources of the Provider of Genetic Resources in breeding for commercial purposes shall be possible only after the conclusion of a new agreement on sharing of benefits obtained as a result of their commercialization. Any changes in terms of the genetic resources’ utilization should be formalized in the form of additional agreements (Protocols) to the Agreement.",ircc_1245,en
The permit shall be valid for one consignment only.,ircc_1251,en
"This permit is issued subject to the provisions and regulations of the following laws: The Marine Living Resources Act, (Act No. 18 of 1998) and all regulations published in terms of thereof; The National Environmental Management Act, (Act No. 107 of 1998) and in particular, the regulations that control vehicle use in coastal zones as amended; The National Environmental Management Biodiversity Act, (Act No. 10 of 2004) all regulations published in terms of thereof; The National Environmental Management Protected Areas Act, (Act No. 57 of 2003); The sea Birds and Seals Protection Act, (Act No. 46 of 1973); Prevention of Pollution from Ships Act, (Act No. 2 of 1986); National Environmental Management Integrated Coastal Management Act, (Act No. 24 of 2008) and Any other relevant law.",ircc_1363,en
"(1) It is required to share the research findings and publications with the Lao Tropical and Public Health Institute, Ministry of Health and the ABS authority in order to acknowledge the provider of genetic resources. (2) If further experiment of the genetic resources is used for commercial purposes and/or the materials will be taken out of Lao PDR, the Wellcome Sanger Institute, UK have to inform the authority as well as the ABS agreement and the MTA must to be established with supporting resource details.",ircc_1367,en
Étude de l’espèce Aloe Macra endémique de la Réunion,ircc_1368,en
Étude phytochimique et évaluation des propriétés biologiques in vitro des feuilles d’Aphloia theiformis,ircc_1371,en
Étude des agents pathogènes affectant les algues,ircc_1373,en
"1. Collection of plant material should be least destructive to the remaining plant 2. Should the result of the research lead to the commercialisation of any product, the normal bioprospecting process should be followed to ensure fair sharing of benefits according to the Nagoya Protocol",ircc_1386,en
As contained in permit No: FAUNA 0645/2021 attached under PIC,ircc_1506,en
(1) Research purpose only (2) Transfer Agreement Material (TMA) is applied if the genetic resources sending out from Lao PDR. It is required to submit a copy of the sample information with the permission of Ministry of Health to the ABS Authority to register each export of the resources till ending of the project. (3) It is also required to share the research results and publications with the local project partner and the ABS authority in order to acknowledge of the genetic resource's provider.,ircc_1545,en
"(1) Research purpose only. (2) Material Transfer Agreement (MTA) is applied if the genetic resources sending out from Lao PDR. It is required to submit a copy of the sample information with the permission of the local authority-Centre for Malaria, Parasitology and Entomology, Ministry of Health, to the ABS Authority in order to register each export of the resources till ending of the project. (3) It is also required to share the research results and publications with the local project partner and the ABS authority in order to acknowledge the provider of genetic resources.",ircc_1546,en
Non-commercial research purpose only,ircc_1547,en
"(1) Research purpose only (2) Transfer Agreement Material (TMA) is applied if the genetic resources sending out from Lao PDR to Mahidol-Oxford Tropical Medicine Research Unit (MORU), Mahidol University, Thailand and Wellcome Sanger Institute, United Kingdom. The TMA should be agreed among the project parties with the acknowledge of the ABS authority (3) Share research result and project report for Malaria Parasitology and Entomology, Ministry of Health and the ABS Authority is requested from the user",ircc_1548,en
"(1) Research purpose only. (2) Material Transfer Agreement (MTA) will apply if the genetic resources sending out from Lao PDR. It is required to submit a copy of the sample information with the permission of the local authority-National Animal Health Laboratory, Department of Livestock and Fisheries, Ministry of Agriculture and Forestry, to the ABS Authority in order to register each export of the resources. (3) It is also required to share the research results and publications with the local project partners and the ABS authority in order to acknowledge the provider of genetic resources.",ircc_1549,en
(1) Research purpose only (2) Transfer Agreement Material (TMA) is applied if the genetic resources sending out from Lao PDR to King Mungkut University (Thailand). It is also required to submit a copy of the sample information with the permission of the local authority-Ministry of Agriculture and Forestry to the ABS authority in order to register in each export till ending of the project. (3) It is also required to share the research results and publications with the local partner and ABS authority in order to acknowledge the provider of genetic resources.,ircc_1550,en
Non-commercialization or educational purpose only,ircc_1551,en
- Research purpose only - Transfer Agreement Material (TMA) is applied if the genetic resources sending out from Lao PDR. The TMA should be agreed among the project parties and approve by the ABS Authority - Share research result and project report for the Lao counter part and the ABS Authority is requested from the genetic resource's user or CIRAD,ircc_1552,en
"Recherche en ethnobiologie sur les connaissances traditionnelles teko liées à la biodiversité, dans un objectif de préservation culturelle",ircc_1725,en
Only use for scientific research,ircc_1740,en
Only use for scientific research,ircc_1741,en
Only use for scientific research,ircc_1747,en
Only use for scientific research,ircc_1750,en
Only use for scientific research,ircc_1751,en
"Etude des ondes internes, du mélange induit et de leur impact sur l’environnement et l’écosystème marin du plateau amazonien et sa région océanique adjacente (campagne Amazomix), en collaboration avec le CNRS, l'Université du Littoral Côte d'Opale, le Commissariat à l'énergie atomique et aux énergies alternatives, l'Universidade do Porto, l'Universidade Federal de Pernambuco, l’Universidade Federal Rural de Pernambuco, l'Universidade Federal do Pará, l'Universidade Federal Rural do Pará",ircc_1767,en
Only use for scientific research,ircc_1824,en
"(1) Research purpose only. (2) Material Transfer Agreement (MTA) is applied if the genetic resources sending out from Lao PDR. It is required to submit a copy of the sample information with the permission of the local authority-Centre d'Infectiologie Lao-Christophe Mérieux (CILM), Lao PDR, to the ABS Authority in order to register each export of the resources till ending of the project. (3) It is also required to share the research results and publications with the local project partners and the ABS authority in order to acknowledge the provider of genetic resources.",ircc_1907,en
Only use for scientific research,ircc_1983,en
Only use for scientific research,ircc_1984,en
Only use for scientific research,ircc_1985,en
Only use for scientific research,ircc_1986,en
Only use for scientific research,ircc_2040,en
Etude de la diversité génétique des vers rubans,ircc_2060,en
"The summary of the research findings and outcomes including the dates, locations, species and quantities collected should be submitted to the Issuing Authority.",ircc_2071,en
"Once the analysis is complete, the researcher will travel with the tissue back to South Africa and store it at the tissue bank at the North-West University (Potchefstroom Campus) in South Africa.",ircc_2112,en
Identification scientifique d’espèces dans le cadre du projet d'inventaire ethnoécologique des savoirs teko relatifs à la biodiversité,ircc_2121,en
Séquençage de génomes et étude de transferts horizontaux entre génomes,ircc_2136,en
Etude des mécanismes de résistance aux insecticides et du microbiote,ircc_2139,en
Etude de bryozoaires endolithiques,ircc_2140,en
Recherche sur l’écologie des sépioles dans le cadre d’un projet international,ircc_2142,en
Etude phylogénétique du genre Cryptoblepharus dans les îles Éparses et de l'identité de spécimens provenant de Tromelin,ircc_2145,en
Etude des déterminants évolutifs et écologiques qui modulent le risque d’extinction d’espèces et analyse de la contribution relative de l’histoire évolutive d’espèces et de leurs réponses évolutives aux changements récents dans la prédiction de leur trajectoire démographique,ircc_2146,en
Etude des mécanismes de résistance aux insecticides et du microbiote,ircc_2147,en
Développement d’une méthode de contrôle dans le secteur de l’alimentation,ircc_2148,en
(1) Research purpose only. (2) Material Transfer Agreement (MTA) is applied if the genetic resources sending out from Lao PDR. It is required to submit a copy of the sample information with the permission of the local authority-Ministry of Agriculture and Forestry to the ABS Authority in order to register each export of the resources till ending of the project. (3) It is also required to share the research results and publications with the local project partner and the ABS authority in order to acknowledge the provider of genetic resources.,ircc_2161,en
The technical cruise report should be filed with DIRCO in both hard and soft copies upon completion of the expedition. Any South African participants on board the vessel should be provided with the relevant data upon completion of the expedition.,ircc_2177,en
"(1) It is required to share the research results and publications with the local project partner and the ABS authority in order to acknowledge the provider of genetic resources. (2) If further experiment of the genetic resources is used for commercial purposes, University of Missouri have to inform the authority and the ABS agreement must to be established.",ircc_2201,en
(1) Research purpose only. (2) Material Transfer Agreement (MTA) is applied if the genetic resources sending out from Lao PDR. It is required to submit a copy of the sample information with the permission of the local authority-Ministry of Agriculture and Forestry to the ABS Authority in order to register each export of the resources till ending of the project. (3) It is also required to share the research results and publications with the local project partner and the ABS authority in order to acknowledge the provider of genetic resources.,ircc_2255,en
Non-commercial sue or academic purpose only,ircc_2257,en
"1. If the user assigns/licenses the process/product/innovation to a third party for commercialization, the user shall pay to NBA 3.0% of the fee received (in any form including the license / assignee fee) and 2.0% of the royalty amount received annually from the assignee/licensee. 2. In case the user assigns or transfers the IPR in whole or in part to any person, whether voluntarily or involuntarily, the user undertakes to attach this agreement as an appendix to the assignment instrument, which shall be binding upon such person.",ircc_3339,en
"domaine de la santé, de la cosmétique, et du phytosanitaire.",ircc_3831,en
"R&D de développement potentiel dans les domaines de la cosmétique, de l’agroalimentaire, de la santé ...",ircc_3833,en
"1. If the user assigns/licenses the process/product/innovation to a third party for commercialization, the user shall pay to NBA 3.0% of the fee received (in any form including the license / assignee fee) and 2.0% of the royalty amount received annually from the assignee/licensee. 2. In case the user assigns or transfers the IPR in whole or in part to any person, whether voluntarily or involuntarily, the user undertakes to attach this agreement as an appendix to the assignment instrument which shall be binding upon such person.",ircc_3878,en
Access was granted for scientific research. Use of genetic resources for commercial purposes is possible only upon the conclusion of a new benefit-sharing agreement.,ircc_3967,en
Access was granted for scientific research. Use of genetic resources for commercial purposes is possible only upon the conclusion of a new benefit-sharing agreement.,ircc_3968,en
"Uso permitido/autorizado: Investigación científica sobre la estructura genética poblacional de Cardisoma crassum en el Pacífico panameño.Cantidad 100 individuos. Colecta y registro del peso y el tamaño. Extracción, amplificación y secuenciación de ADN. Análisis de varianza molecular (AMOVA).",ircc_3975,en
You shall ensure that the basic preparation and analysis of the baboons fecal samples to good laboratory standards for export and further analysis shall be done in the project location or local institutions; institute for primate research. Ensure that the local partner is involved I the identification and preparation of the samples for export.,ircc_3981,en
The genetic resource and the derivative shall not use for commercial or profit purpose without understanding from genetic resource providers and NEMA.,ircc_3982,en
The access to genetic resources and its derivatives shall be strictly for academic purpose of understanding behaviour and physiological causes and consequences of sociality in African Starling (genus Lamprotornis). The genetic resource and the derivative shall not be used for commercial or profit purpose without understanding from genetic resource provider and NEMA,ircc_3983,en
The genetic resource and the derivative shall not be used for commercial or profit purpose without understanding from genetic resource provider and NEMA &#10;&#9;&#9;,ircc_3984,en
not more than 200 fecal samples from 30g per sample of Olive Baboon (Papio anubis) and not more than 500 plants samles approx 30 dry weint per sample foraged by the baboons in Thome B settlement Scheme Laikipia,ircc_3988,en
The access of the genetic resources and its derivatives shall be strictly for research in secondary metabolites for control of maize and beans pathogens&#10;&#9;&#9;,ircc_3990,en
